url,"date_mday",totalbytes
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/72307231avv.gem",18,498410
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/72317232avv.gem",19,319073
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/72327233avv.gem",20,354561
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/72337234avv.gem",21,349537
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/72347235avv.gem",22,394505
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/72357236avv.gem",23,764281
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/72367237avv.gem",24,319290
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/PkgCatalog.z",18,54002
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/PkgCatalog.z",19,58092
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/PkgCatalog.z",20,53898
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/PkgCatalog.z",21,53970
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/PkgCatalog.z",22,53849
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/PkgCatalog.z",23,57999
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/PkgCatalog.z",24,53898
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/V2datinstall.mcs",18,88728
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/V2datinstall.mcs",19,177456
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/V2datinstall.mcs",20,88728
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/V2datinstall.mcs",21,88728
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/V2datinstall.mcs",22,88728
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/V2datinstall.mcs",23,177456
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/VSCANDAT1000/DAT/0000/V2datinstall.mcs",24,88728
