service,port,protocol
saphostctrl,1128,tcp
saphostctrl,1128,udp
saphostctrls,1129,tcp
saphostctrls,1129,udp
casp,1130,tcp
casp,1130,udp
caspssl,1131,tcp
caspssl,1131,udp
dfn,1133,tcp
dfn,1133,udp
aplx,1134,tcp
aplx,1134,udp
omnivision,1135,tcp
omnivision,1135,udp
trim,1137,tcp
trim,1137,udp
autonoc,1140,tcp
autonoc,1140,udp
mxomss,1141,tcp
mxomss,1141,udp
edtools,1142,tcp
edtools,1142,udp
imyx,1143,tcp
imyx,1143,udp
fuscript,1144,tcp
fuscript,1144,udp
capioverlan,1147,tcp
capioverlan,1147,udp
bvtsonar,1149,tcp
bvtsonar,1149,udp
blaze,1150,tcp
blaze,1150,udp
unizensus,1151,tcp
unizensus,1151,udp
winpoplanmess,1152,tcp
winpoplanmess,1152,udp
resacommunity,1154,tcp
resacommunity,1154,udp
nfa,1155,udp
nfa,1155,tcp
iascontrol,1157,tcp
iascontrol,1157,udp
olsv,1160,tcp
olsv,1160,udp
sddp,1163,tcp
sddp,1163,udp
vchat,1168,udp
vchat,1168,tcp
tripwire,1169,udp
tripwire,1169,tcp
dnap,1172,tcp
dnap,1172,udp
dossier,1175,tcp
dossier,1175,udp
dkmessenger,1177,tcp
dkmessenger,1177,udp
b2n,1179,tcp
b2n,1179,udp
3comnetman,1181,tcp
3comnetman,1181,udp
accelenet,1182,tcp
accelenet,1182,udp
catchpole,1185,udp
catchpole,1185,tcp
alias,1187,tcp
alias,1187,udp
unet,1189,tcp
unet,1189,udp
gpfs,1191,tcp
gpfs,1191,udp
fiveacross,1193,tcp
fiveacross,1193,udp
openvpn,1194,tcp
openvpn,1194,udp
netmagic,1196,tcp
netmagic,1196,udp
dmidi,1199,udp
dmidi,1199,tcp
scol,1200,udp
scol,1200,tcp
caiccipc,1202,udp
caiccipc,1202,tcp
metasage,1207,udp
metasage,1207,tcp
ipcd3,1209,udp
ipcd3,1209,tcp
eoss,1210,udp
eoss,1210,tcp
lupa,1212,udp
lupa,1212,tcp
kazaa,1214,udp
kazaa,1214,tcp
etebac5,1216,udp
etebac5,1216,tcp
nerv,1222,udp
nerv,1222,tcp
tgp,1223,udp
tgp,1223,tcp
vpnz,1224,udp
vpnz,1224,tcp
slinkysearch,1225,udp
slinkysearch,1225,tcp
stgxfws,1226,udp
stgxfws,1226,tcp
dns2go,1227,udp
dns2go,1227,tcp
florence,1228,udp
florence,1228,tcp
periscope,1230,udp
periscope,1230,tcp
mosaicsyssvc1,1235,udp
mosaicsyssvc1,1235,tcp
bvcontrol,1236,udp
bvcontrol,1236,tcp
tsdos390,1237,udp
tsdos390,1237,tcp
nmsd,1239,udp
nmsd,1239,tcp
instantia,1240,udp
instantia,1240,tcp
nessus,1241,udp
nessus,1241,tcp
nmasoverip,1242,udp
nmasoverip,1242,tcp
serialgateway,1243,udp
serialgateway,1243,tcp
isbconference1,1244,udp
isbconference1,1244,tcp
isbconference2,1245,udp
isbconference2,1245,tcp
payrouter,1246,udp
payrouter,1246,tcp
visionpyramid,1247,udp
visionpyramid,1247,tcp
hermes,1248,udp
hermes,1248,tcp
mesavistaco,1249,udp
mesavistaco,1249,tcp
servergraph,1251,udp
servergraph,1251,tcp
shockwave2,1257,udp
shockwave2,1257,tcp
opennl,1258,udp
opennl,1258,tcp
mpshrsv,1261,udp
mpshrsv,1261,tcp
dka,1263,udp
dka,1263,tcp
prat,1264,udp
prat,1264,tcp
dssiapi,1265,udp
dssiapi,1265,tcp
dellpwrappks,1266,udp
dellpwrappks,1266,tcp
epc,1267,udp
epc,1267,tcp
watilapp,1269,udp
watilapp,1269,tcp
opsmgr,1270,udp
opsmgr,1270,tcp
dabew,1271,udp
dabew,1271,tcp
cspmlockmgr,1272,udp
cspmlockmgr,1272,tcp
t1distproc,1274,udp
t1distproc,1274,tcp
ivcollector,1275,udp
ivcollector,1275,tcp
ivmanager,1276,udp
ivmanager,1276,tcp
pictrography,1280,udp
pictrography,1280,tcp
healthd,1281,udp
healthd,1281,tcp
emperion,1282,udp
emperion,1282,tcp
productinfo,1283,udp
productinfo,1283,tcp
neoiface,1285,udp
neoiface,1285,tcp
netuitive,1286,udp
netuitive,1286,tcp
routematch,1287,tcp
routematch,1287,udp
navbuddy,1288,udp
navbuddy,1288,tcp
jwalkserver,1289,udp
jwalkserver,1289,tcp
winjaserver,1290,udp
winjaserver,1290,tcp
seagulllms,1291,udp
seagulllms,1291,tcp
dsdn,1292,udp
dsdn,1292,tcp
cmmdriver,1294,udp
cmmdriver,1294,tcp
ehtp,1295,udp
ehtp,1295,tcp
dproxy,1296,udp
dproxy,1296,tcp
sdproxy,1297,udp
sdproxy,1297,tcp
lpcp,1298,udp
lpcp,1298,tcp
h323hostcallsc,1300,udp
h323hostcallsc,1300,tcp
sftsrv,1303,udp
sftsrv,1303,tcp
boomerang,1304,udp
boomerang,1304,tcp
pacmand,1307,udp
pacmand,1307,tcp
odsi,1308,udp
odsi,1308,tcp
husky,1310,udp
husky,1310,tcp
rxmon,1311,udp
rxmon,1311,tcp
bmc_patroldb,1313,udp
bmc_patroldb,1313,tcp
pdps,1314,udp
pdps,1314,tcp
els,1315,udp
els,1315,tcp
krb5gatekeeper,1318,udp
krb5gatekeeper,1318,tcp
pip,1321,udp
pip,1321,tcp
novation,1322,udp
novation,1322,tcp
brcd,1323,udp
brcd,1323,tcp
wimsic,1326,udp
wimsic,1326,tcp
ultrex,1327,udp
ultrex,1327,tcp
ewall,1328,udp
ewall,1328,tcp
streetperfect,1330,udp
streetperfect,1330,tcp
intersan,1331,udp
intersan,1331,tcp
writesrv,1334,udp
writesrv,1334,tcp
ischat,1336,udp
ischat,1336,tcp
kjtsiteserver,1339,udp
kjtsiteserver,1339,tcp
naap,1340,udp
naap,1340,tcp
qubes,1341,udp
qubes,1341,tcp
esbroker,1342,udp
esbroker,1342,tcp
re101,1343,udp
re101,1343,tcp
icap,1344,udp
icap,1344,tcp
vpjp,1345,udp
vpjp,1345,tcp
sbook,1349,udp
sbook,1349,tcp
editbench,1350,udp
editbench,1350,tcp
equationbuilder,1351,udp
equationbuilder,1351,tcp
lotusnote,1352,udp
lotusnote,1352,tcp
relief,1353,udp
relief,1353,tcp
rightbrain,1354,udp
rightbrain,1354,tcp
cuillamartin,1356,udp
cuillamartin,1356,tcp
pegboard,1357,udp
pegboard,1357,tcp
connlcli,1358,udp
connlcli,1358,tcp
ftsrv,1359,udp
ftsrv,1359,tcp
mimer,1360,udp
mimer,1360,tcp
linx,1361,udp
linx,1361,tcp
timeflies,1362,udp
timeflies,1362,tcp
dcs,1367,udp
dcs,1367,tcp
screencast,1368,udp
screencast,1368,tcp
chromagrafx,1373,udp
chromagrafx,1373,tcp
molly,1374,udp
molly,1374,tcp
bytex,1375,udp
bytex,1375,tcp
cichlid,1377,udp
cichlid,1377,tcp
elan,1378,udp
elan,1378,tcp
dbreporter,1379,udp
dbreporter,1379,tcp
udt_os,1382,udp
udt_os,1382,tcp
gwha,1383,udp
gwha,1383,tcp
atex_elmd,1385,udp
atex_elmd,1385,tcp
checksum,1386,udp
checksum,1386,tcp
hiq,1410,udp
hiq,1410,tcp
af,1411,udp
af,1411,tcp
innosys,1412,udp
innosys,1412,tcp
dbstar,1415,udp
dbstar,1415,tcp
essbase,1423,udp
essbase,1423,tcp
